MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,sold_price_bin,total_bed_bath,sold_price_log,lot_acres_log,sold_price_category,zip,city,state_id,price_per_sqrt_ft,cv,maintenance_cost,volatility_risk,sold_price_risk,maintenance_risk,age_risk,weighted_score,final_risk,risk_category
21530491,5300000.0,85637,-110.3782,31.356362,131.0,5272.0,1941,13,10.0,7315.210000000005,0.0,"Dishwasher, Freezer, Refrigerator, Oven",6,"Mexican Tile, Wood",0.0,"(900000.0, 5300000.0]",23.0,15.483217567201578,4.882801922586371,Luxury,85637,Sonoita,AZ,724.5178197208278,0.5343514190614518,5272.0,High,High,Medium,High,2.9000000000000004,High,1
21529082,4200000.0,85646,-111.045371,31.594213,4.68,10422.36,1997,2,2.0,7300.0,0.0,"Dishwasher, Garbage Disposal",5,"Natural Stone, Other",0.0,"(900000.0, 5300000.0]",4.0,15.250595321348806,1.7369512327330598,Luxury,85646,Tubac,AZ,575.3424657534247,0.9022107669226266,10422.36,High,High,High,Low,2.8000000000000003,High,1
3054672,4200000.0,85646,-111.040707,31.594844,4.68,10482.0,1997,2,3.0,2596.5043103448274,3.0,"Dishwasher, Garbage Disposal, Refrigerator",5,"Natural Stone, Other: Rock",10.753903957818263,"(900000.0, 5300000.0]",5.0,15.250595321348806,1.7369512327330598,Luxury,85646,Tubac,AZ,1617.5594175856465,0.9022107669226266,10492.753903957819,High,High,High,Low,2.8000000000000003,High,1
21919321,4500000.0,85646,-111.035925,31.645878,636.67,8418.58,1930,7,5.0,7315.210000000005,4.0,"Dishwasher, Double Sink, Pantry: Butler, Refrigerator",4,"Ceramic Tile, Laminate, Wood",11.695748958641154,"(900000.0, 5300000.0]",12.0,15.319588176962746,6.457820908150012,Luxury,85646,Tubac,AZ,615.1566393856085,0.9022107669226266,8430.27574895864,High,High,High,High,3.0,High,1
21306357,3411450.0,85750,-110.813768,32.285162,3.21,15393.0,1995,4,6.0,6396.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Concrete",55.0,"(900000.0, 5300000.0]",10.0,15.042648271951114,1.43746264769429,Luxury,85750,Tucson,AZ,533.3724202626641,0.2476370394592814,15448.0,Medium,High,High,Low,2.3000000000000003,Medium,3
21528016,3250000.0,85718,-110.910593,32.33909,1.67,27802.84,1999,3,4.0,6842.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Natural Stone, Wood, Other",422.0,"(900000.0, 5300000.0]",7.0,14.99416586199818,0.982078472412158,Luxury,85718,Tucson,AZ,475.00730780473543,0.23009985797140417,28224.84,Low,High,High,Low,1.8,Medium,3
21610478,2400000.0,85712,-110.883315,32.261069,2.1,19038.42,2001,9,8.0,7315.210000000005,4.0,"Dishwasher, Garbage Disposal, Oven",6,"Carpet, Natural Stone, Wood, Other",0.0,"(900000.0, 5300000.0]",17.0,14.690979711984754,1.1314021114911006,Luxury,85712,Tucson,AZ,328.0835410056579,0.21225356805103548,19038.42,Low,High,High,Low,1.8,Medium,3
21211741,2500000.0,85750,-110.861002,32.331603,1.07,21646.0,2011,6,8.0,7315.210000000005,4.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",5,"Carpet, Natural Stone, Wood",220.0,"(900000.0, 5300000.0]",14.0,14.731801689838347,0.7275486072772778,Luxury,85750,Tucson,AZ,341.7536885475603,0.2476370394592814,21866.0,Medium,High,High,Low,2.3000000000000003,Medium,3
21324646,3700000.0,85718,-110.912156,32.343601,6.73,25094.39,2002,5,7.0,5238.0,3.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Natural Stone, Wood, Other",421.0,"(900000.0, 5300000.0]",12.0,15.123843647884687,2.0451088625993306,Luxury,85718,Tucson,AZ,706.3764795723558,0.23009985797140417,25515.39,Low,High,High,Low,1.8,Medium,3
21812010,3250000.0,85750,-110.83795,32.327575,3.53,18936.11,2007,5,6.0,6480.0,3.0,"Dishwasher, Double Sink, Electric Range, Freezer, Garbage Disposal, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: CORIAN, Microwave: Built In, Oven: Built In",2,"Carpet, Concrete",141.67,"(900000.0, 5300000.0]",11.0,14.99416586199818,1.5107219394949427,Luxury,85750,Tucson,AZ,501.5432098765432,0.2476370394592814,19077.78,Medium,High,High,Low,2.3000000000000003,Medium,3
